Java HotSpot(TM) 64-Bit Server VM warning: ignoring option PermSize=128m; support was removed in 8.0
Java HotSpot(TM) 64-Bit Server VM warning: UseCMSCompactAtFullCollection is deprecated and will likely be removed in a future release.
log4j:WARN No appenders could be found for logger (com.alibaba.dubbo.common.logger.LoggerFactory).
log4j:WARN Please initialize the log4j system properly.
log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
[21:40:16] Hello world0, response form provider: 192.168.31.210:20880
[21:40:18] Hello world1, response form provider: 192.168.31.210:20880
[21:40:20] Hello world2, response form provider: 192.168.31.210:20880
[21:40:22] Hello world3, response form provider: 192.168.31.210:20880
[21:40:24] Hello world4, response form provider: 192.168.31.210:20880
[21:40:26] Hello world5, response form provider: 192.168.31.210:20880
[21:40:28] Hello world6, response form provider: 192.168.31.210:20880
[21:40:30] Hello world7, response form provider: 192.168.31.210:20880
[21:40:32] Hello world8, response form provider: 192.168.31.210:20880
[21:40:34] Hello world9, response form provider: 192.168.31.210:20880
[21:40:36] Hello world10, response form provider: 192.168.31.210:20880
[21:40:38] Hello world11, response form provider: 192.168.31.210:20880
[21:40:40] Hello world12, response form provider: 192.168.31.210:20880
[21:40:42] Hello world13, response form provider: 192.168.31.210:20880
[21:40:44] Hello world14, response form provider: 192.168.31.210:20880
[21:40:46] Hello world15, response form provider: 192.168.31.210:20880
[21:40:48] Hello world16, response form provider: 192.168.31.210:20880
[21:40:50] Hello world17, response form provider: 192.168.31.210:20880
[21:40:52] Hello world18, response form provider: 192.168.31.210:20880
[21:40:54] Hello world19, response form provider: 192.168.31.210:20880
[21:40:56] Hello world20, response form provider: 192.168.31.210:20880
[21:40:58] Hello world21, response form provider: 192.168.31.210:20880
[21:41:00] Hello world22, response form provider: 192.168.31.210:20880
[21:41:02] Hello world23, response form provider: 192.168.31.210:20880
[21:41:04] Hello world24, response form provider: 192.168.31.210:20880
[21:41:06] Hello world25, response form provider: 192.168.31.210:20880
[21:41:08] Hello world26, response form provider: 192.168.31.210:20880
[21:41:10] Hello world27, response form provider: 192.168.31.210:20880
[21:41:12] Hello world28, response form provider: 192.168.31.210:20880
[21:41:14] Hello world29, response form provider: 192.168.31.210:20880
[21:41:16] Hello world30, response form provider: 192.168.31.210:20880
[21:41:18] Hello world31, response form provider: 192.168.31.210:20880
[21:41:20] Hello world32, response form provider: 192.168.31.210:20880
[21:41:22] Hello world33, response form provider: 192.168.31.210:20880
[21:41:24] Hello world34, response form provider: 192.168.31.210:20880
[21:41:26] Hello world35, response form provider: 192.168.31.210:20880
[21:41:28] Hello world36, response form provider: 192.168.31.210:20880
[21:41:30] Hello world37, response form provider: 192.168.31.210:20880
[21:41:32] Hello world38, response form provider: 192.168.31.210:20880
[21:41:34] Hello world39, response form provider: 192.168.31.210:20880
[21:41:36] Hello world40, response form provider: 192.168.31.210:20880
[21:41:38] Hello world41, response form provider: 192.168.31.210:20880
[21:41:40] Hello world42, response form provider: 192.168.31.210:20880
[21:41:42] Hello world43, response form provider: 192.168.31.210:20880
[21:41:44] Hello world44, response form provider: 192.168.31.210:20880
[21:41:46] Hello world45, response form provider: 192.168.31.210:20880
[21:41:48] Hello world46, response form provider: 192.168.31.210:20880
[21:41:50] Hello world47, response form provider: 192.168.31.210:20880
[21:41:52] Hello world48, response form provider: 192.168.31.210:20880
[21:41:54] Hello world49, response form provider: 192.168.31.210:20880
[21:41:56] Hello world50, response form provider: 192.168.31.210:20880
[21:41:58] Hello world51, response form provider: 192.168.31.210:20880
