Java HotSpot(TM) 64-Bit Server VM warning: ignoring option PermSize=128m; support was removed in 8.0
Java HotSpot(TM) 64-Bit Server VM warning: UseCMSCompactAtFullCollection is deprecated and will likely be removed in a future release.
log4j:WARN No appenders could be found for logger (com.alibaba.dubbo.common.logger.LoggerFactory).
log4j:WARN Please initialize the log4j system properly.
log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
[2017-08-23 21:37:10] Dubbo service server started!
[21:40:14] Hello world0, request from consumer: /192.168.31.210:59621
[21:40:16] Hello world0, request from consumer: /192.168.31.210:59621
[21:40:18] Hello world1, request from consumer: /192.168.31.210:59621
[21:40:20] Hello world2, request from consumer: /192.168.31.210:59621
[21:40:22] Hello world3, request from consumer: /192.168.31.210:59621
[21:40:24] Hello world4, request from consumer: /192.168.31.210:59621
[21:40:26] Hello world5, request from consumer: /192.168.31.210:59621
[21:40:28] Hello world6, request from consumer: /192.168.31.210:59621
[21:40:30] Hello world7, request from consumer: /192.168.31.210:59621
[21:40:32] Hello world8, request from consumer: /192.168.31.210:59621
[21:40:34] Hello world9, request from consumer: /192.168.31.210:59621
[21:40:36] Hello world10, request from consumer: /192.168.31.210:59621
[21:40:38] Hello world11, request from consumer: /192.168.31.210:59621
[21:40:40] Hello world12, request from consumer: /192.168.31.210:59621
[21:40:42] Hello world13, request from consumer: /192.168.31.210:59621
[21:40:44] Hello world14, request from consumer: /192.168.31.210:59621
[21:40:46] Hello world15, request from consumer: /192.168.31.210:59621
[21:40:48] Hello world16, request from consumer: /192.168.31.210:59621
[21:40:50] Hello world17, request from consumer: /192.168.31.210:59621
[21:40:52] Hello world18, request from consumer: /192.168.31.210:59621
[21:40:54] Hello world19, request from consumer: /192.168.31.210:59621
[21:40:56] Hello world20, request from consumer: /192.168.31.210:59621
[21:40:58] Hello world21, request from consumer: /192.168.31.210:59621
[21:41:00] Hello world22, request from consumer: /192.168.31.210:59621
[21:41:02] Hello world23, request from consumer: /192.168.31.210:59621
[21:41:04] Hello world24, request from consumer: /192.168.31.210:59621
[21:41:06] Hello world25, request from consumer: /192.168.31.210:59621
[21:41:08] Hello world26, request from consumer: /192.168.31.210:59621
[21:41:10] Hello world27, request from consumer: /192.168.31.210:59621
[21:41:12] Hello world28, request from consumer: /192.168.31.210:59621
[21:41:14] Hello world29, request from consumer: /192.168.31.210:59621
[21:41:16] Hello world30, request from consumer: /192.168.31.210:59621
[21:41:18] Hello world31, request from consumer: /192.168.31.210:59621
[21:41:20] Hello world32, request from consumer: /192.168.31.210:59621
[21:41:22] Hello world33, request from consumer: /192.168.31.210:59621
[21:41:24] Hello world34, request from consumer: /192.168.31.210:59621
[21:41:26] Hello world35, request from consumer: /192.168.31.210:59621
[21:41:28] Hello world36, request from consumer: /192.168.31.210:59621
[21:41:30] Hello world37, request from consumer: /192.168.31.210:59621
[21:41:32] Hello world38, request from consumer: /192.168.31.210:59621
[21:41:34] Hello world39, request from consumer: /192.168.31.210:59621
[21:41:36] Hello world40, request from consumer: /192.168.31.210:59621
[21:41:38] Hello world41, request from consumer: /192.168.31.210:59621
[21:41:40] Hello world42, request from consumer: /192.168.31.210:59621
[21:41:42] Hello world43, request from consumer: /192.168.31.210:59621
[21:41:44] Hello world44, request from consumer: /192.168.31.210:59621
[21:41:46] Hello world45, request from consumer: /192.168.31.210:59621
[21:41:48] Hello world46, request from consumer: /192.168.31.210:59621
[21:41:50] Hello world47, request from consumer: /192.168.31.210:59621
[21:41:52] Hello world48, request from consumer: /192.168.31.210:59621
[21:41:54] Hello world49, request from consumer: /192.168.31.210:59621
[21:41:56] Hello world50, request from consumer: /192.168.31.210:59621
[21:41:58] Hello world51, request from consumer: /192.168.31.210:59621
[21:42:00] Hello world52, request from consumer: /192.168.31.210:59621
[21:42:02] Hello world53, request from consumer: /192.168.31.210:59621
[21:42:04] Hello world54, request from consumer: /192.168.31.210:59621
[21:42:06] Hello world55, request from consumer: /192.168.31.210:59621
[21:42:08] Hello world56, request from consumer: /192.168.31.210:59621
[21:42:10] Hello world57, request from consumer: /192.168.31.210:59621
[21:42:12] Hello world58, request from consumer: /192.168.31.210:59621
[21:42:14] Hello world59, request from consumer: /192.168.31.210:59621
[21:42:16] Hello world60, request from consumer: /192.168.31.210:59621
[21:42:18] Hello world61, request from consumer: /192.168.31.210:59621
[21:42:20] Hello world62, request from consumer: /192.168.31.210:59621
[21:42:22] Hello world63, request from consumer: /192.168.31.210:59621
[21:42:24] Hello world64, request from consumer: /192.168.31.210:59621
[21:42:26] Hello world65, request from consumer: /192.168.31.210:59621
[21:42:28] Hello world66, request from consumer: /192.168.31.210:59621
[21:42:30] Hello world67, request from consumer: /192.168.31.210:59621
[21:42:32] Hello world68, request from consumer: /192.168.31.210:59621
[21:42:34] Hello world69, request from consumer: /192.168.31.210:59621
[21:42:36] Hello world70, request from consumer: /192.168.31.210:59621
[21:42:38] Hello world71, request from consumer: /192.168.31.210:59621
[21:42:40] Hello world72, request from consumer: /192.168.31.210:59621
[21:42:42] Hello world73, request from consumer: /192.168.31.210:59621
[21:42:44] Hello world74, request from consumer: /192.168.31.210:59621
[21:42:46] Hello world75, request from consumer: /192.168.31.210:59621
[21:42:48] Hello world76, request from consumer: /192.168.31.210:59621
[21:42:50] Hello world77, request from consumer: /192.168.31.210:59621
[21:42:52] Hello world78, request from consumer: /192.168.31.210:59621
[21:42:54] Hello world79, request from consumer: /192.168.31.210:59621
[21:42:56] Hello world80, request from consumer: /192.168.31.210:59621
[21:42:58] Hello world81, request from consumer: /192.168.31.210:59621
[21:43:00] Hello world82, request from consumer: /192.168.31.210:59621
[21:43:02] Hello world83, request from consumer: /192.168.31.210:59621
[21:43:04] Hello world84, request from consumer: /192.168.31.210:59621
[21:43:06] Hello world85, request from consumer: /192.168.31.210:59621
[21:43:08] Hello world86, request from consumer: /192.168.31.210:59621
[21:43:10] Hello world87, request from consumer: /192.168.31.210:59621
[21:43:12] Hello world88, request from consumer: /192.168.31.210:59621
[21:43:14] Hello world89, request from consumer: /192.168.31.210:59621
[21:43:17] Hello world90, request from consumer: /192.168.31.210:59621
[21:43:19] Hello world91, request from consumer: /192.168.31.210:59621
[21:43:21] Hello world92, request from consumer: /192.168.31.210:59621
[21:43:23] Hello world93, request from consumer: /192.168.31.210:59621
[21:43:25] Hello world94, request from consumer: /192.168.31.210:59621
[21:43:27] Hello world95, request from consumer: /192.168.31.210:59621
[21:43:29] Hello world96, request from consumer: /192.168.31.210:59621
[21:43:31] Hello world97, request from consumer: /192.168.31.210:59621
[21:43:33] Hello world98, request from consumer: /192.168.31.210:59621
[21:43:35] Hello world99, request from consumer: /192.168.31.210:59621
[21:43:37] Hello world100, request from consumer: /192.168.31.210:59621
[21:43:39] Hello world101, request from consumer: /192.168.31.210:59621
[21:43:41] Hello world102, request from consumer: /192.168.31.210:59621
[21:43:43] Hello world103, request from consumer: /192.168.31.210:59621
[21:43:45] Hello world104, request from consumer: /192.168.31.210:59621
[21:43:47] Hello world105, request from consumer: /192.168.31.210:59621
[21:43:49] Hello world106, request from consumer: /192.168.31.210:59621
[21:43:51] Hello world107, request from consumer: /192.168.31.210:59621
[21:43:53] Hello world108, request from consumer: /192.168.31.210:59621
[21:43:55] Hello world109, request from consumer: /192.168.31.210:59621
[21:43:57] Hello world110, request from consumer: /192.168.31.210:59621
[21:43:59] Hello world111, request from consumer: /192.168.31.210:59621
[21:44:01] Hello world112, request from consumer: /192.168.31.210:59621
[21:44:03] Hello world113, request from consumer: /192.168.31.210:59621
[21:44:05] Hello world114, request from consumer: /192.168.31.210:59621
[21:44:07] Hello world115, request from consumer: /192.168.31.210:59621
[21:44:09] Hello world116, request from consumer: /192.168.31.210:59621
[21:44:11] Hello world117, request from consumer: /192.168.31.210:59621
[21:44:13] Hello world118, request from consumer: /192.168.31.210:59621
[21:44:15] Hello world119, request from consumer: /192.168.31.210:59621
[21:44:17] Hello world120, request from consumer: /192.168.31.210:59621
[21:44:19] Hello world121, request from consumer: /192.168.31.210:59621
[21:44:21] Hello world122, request from consumer: /192.168.31.210:59621
[21:44:23] Hello world123, request from consumer: /192.168.31.210:59621
[21:44:25] Hello world124, request from consumer: /192.168.31.210:59621
[21:44:27] Hello world125, request from consumer: /192.168.31.210:59621
[21:44:29] Hello world126, request from consumer: /192.168.31.210:59621
[21:44:31] Hello world127, request from consumer: /192.168.31.210:59621
[21:44:33] Hello world128, request from consumer: /192.168.31.210:59621
[21:44:35] Hello world129, request from consumer: /192.168.31.210:59621
[21:44:37] Hello world130, request from consumer: /192.168.31.210:59621
[21:44:39] Hello world131, request from consumer: /192.168.31.210:59621
[21:44:41] Hello world132, request from consumer: /192.168.31.210:59621
[21:44:43] Hello world133, request from consumer: /192.168.31.210:59621
[21:44:45] Hello world134, request from consumer: /192.168.31.210:59621
[21:44:47] Hello world135, request from consumer: /192.168.31.210:59621
[21:44:49] Hello world136, request from consumer: /192.168.31.210:59621
[21:44:51] Hello world137, request from consumer: /192.168.31.210:59621
[21:44:53] Hello world138, request from consumer: /192.168.31.210:59621
[21:44:55] Hello world139, request from consumer: /192.168.31.210:59621
[21:44:57] Hello world140, request from consumer: /192.168.31.210:59621
[21:44:59] Hello world141, request from consumer: /192.168.31.210:59621
[21:45:01] Hello world142, request from consumer: /192.168.31.210:59621
[21:45:03] Hello world143, request from consumer: /192.168.31.210:59621
[21:45:05] Hello world144, request from consumer: /192.168.31.210:59621
[21:45:07] Hello world145, request from consumer: /192.168.31.210:59621
[21:45:09] Hello world146, request from consumer: /192.168.31.210:59621
[21:45:11] Hello world147, request from consumer: /192.168.31.210:59621
[21:45:13] Hello world148, request from consumer: /192.168.31.210:59621
[21:45:15] Hello world149, request from consumer: /192.168.31.210:59621
[21:45:17] Hello world150, request from consumer: /192.168.31.210:59621
[21:45:19] Hello world151, request from consumer: /192.168.31.210:59621
[21:45:21] Hello world152, request from consumer: /192.168.31.210:59621
[21:45:23] Hello world153, request from consumer: /192.168.31.210:59621
[21:45:25] Hello world154, request from consumer: /192.168.31.210:59621
[21:45:27] Hello world155, request from consumer: /192.168.31.210:59621
[21:45:29] Hello world156, request from consumer: /192.168.31.210:59621
[21:45:31] Hello world157, request from consumer: /192.168.31.210:59621
[21:45:33] Hello world158, request from consumer: /192.168.31.210:59621
[21:45:35] Hello world159, request from consumer: /192.168.31.210:59621
[21:45:37] Hello world160, request from consumer: /192.168.31.210:59621
[21:45:39] Hello world161, request from consumer: /192.168.31.210:59621
[21:45:41] Hello world162, request from consumer: /192.168.31.210:59621
[21:45:43] Hello world163, request from consumer: /192.168.31.210:59621
[21:45:45] Hello world164, request from consumer: /192.168.31.210:59621
[21:45:47] Hello world165, request from consumer: /192.168.31.210:59621
[21:45:49] Hello world166, request from consumer: /192.168.31.210:59621
[21:45:51] Hello world167, request from consumer: /192.168.31.210:59621
[21:45:53] Hello world168, request from consumer: /192.168.31.210:59621
[21:45:55] Hello world169, request from consumer: /192.168.31.210:59621
[21:45:57] Hello world170, request from consumer: /192.168.31.210:59621
[21:45:59] Hello world171, request from consumer: /192.168.31.210:59621
[21:46:01] Hello world172, request from consumer: /192.168.31.210:59621
[21:46:03] Hello world173, request from consumer: /192.168.31.210:59621
[21:46:05] Hello world174, request from consumer: /192.168.31.210:59621
[21:46:07] Hello world175, request from consumer: /192.168.31.210:59621
[21:46:09] Hello world176, request from consumer: /192.168.31.210:59621
[21:46:11] Hello world177, request from consumer: /192.168.31.210:59621
[21:46:13] Hello world178, request from consumer: /192.168.31.210:59621
[21:46:15] Hello world179, request from consumer: /192.168.31.210:59621
[21:46:17] Hello world180, request from consumer: /192.168.31.210:59621
[21:46:19] Hello world181, request from consumer: /192.168.31.210:59621
[21:46:21] Hello world182, request from consumer: /192.168.31.210:59621
